id,name,price,link,source
30,10mm Ballast Bulk Bag,52.1,https://www.tippers.com/products/10mm-ballast-bulk-bag-minimum-weight-of-850kg-gsb0bbai10.html?filter_set,Tippers
30,Travis Perkins Sand and Stone Ballast Bulk Bag,73.31,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-sand-and-stone-ballast-bulk-bag/p/938169?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
31,"20mm Limestone Chippings, Bulk Bag",70,https://www.diy.com/departments/20mm-limestone-chippings-bulk-bag/35695_BQ.prd,BQ
31,Bradfords 20mm To Dust Limestone Chippings Bulk Bag,64.8,https://www.bradfords.co.uk/abb094,Bradfords
31,20mm Gravel Bulk Bag,50.34,https://www.tippers.com/products/20mm-gravel-bulk-bag.html?filter_set,Tippers
31,Limestone Clean Bulk Bag 20mm,137.45,https://www.travisperkins.co.uk/bagged-aggregates/limestone-clean-bulk-bag-20mm/p/938262?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
31,Tarmac 20mm Limestone Chippings - Major Bag,7.8,https://www.wickes.co.uk/Tarmac-20mm-Limestone-Chippings---Major-Bag/p/131887,Wickes
32,"MOT type 1 Subbase, Bulk Bag",70,https://www.diy.com/departments/mot-type-1-subbase-bulk-bag/35698_BQ.prd,BQ
32,Bradfords MOT Type 1 sub base Bulk Bag,64.8,https://www.bradfords.co.uk/abb070,Bradfords
32,MOT Type 1 Sub Base Bulk Bag,59.94,https://www.builderdepot.co.uk/mot-type-1-sub-base-bulk-bag,Builderdepot
32,MOT Type 1 Sub Base Bulk Bag,46.2,https://www.tippers.com/products/mot-type-1-sub-base-bulk-bag.html?filter_set,Tippers
32,Travis Perkins MOT Type 1 Sub Base Bulk Bag,80.15,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-mot-type-1-sub-base-bulk-bag/p/938251?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
33,"Tarmac MOT Subbase, Large Bag",4.95,https://www.diy.com/departments/tarmac-mot-subbase-large-bag/5030349012414_BQ.prd,BQ
33,Tarmac 20mm Gravel Large Bag - 22.5kg,4,https://www.homebase.co.uk/tarmac-20mm-gravel-large-bag-22.5kg/12839710.html,Homebase
34,"Tarmac 20mm Gravel, Large Bag",3.7,https://www.diy.com/departments/tarmac-20mm-gravel-large-bag/5030349012360_BQ.prd,BQ
34,Gravel Prepacked Bag 20mm,4.07,https://www.bradfords.co.uk/20mm-gravel-apb046,Bradfords
34,20mm Gravel Mini Bag,3.64,https://www.tippers.com/products/20mm-gravel-minibag.html?filter_set,Tippers
34,Tarmac 20mm Gravel - Major Bag,4,https://www.wickes.co.uk/Tarmac-20mm-Gravel---Major-Bag/p/133795,Wickes
35,"Tarmac Sharp sand, Large Bag, 22.5kg",3.23,https://www.diy.com/departments/tarmac-sharp-sand-large-bag-22-5kg/5030349012445_BQ.prd,BQ
35,Tarmac Sharp Sand Large Bag - 22.5kg,3.25,https://www.homebase.co.uk/tarmac-sharp-sand-large-bag-22.5kg/12839706.html,Homebase
35,Sharp Sand Mini Bag,3.64,https://www.tippers.com/products/sharp-sand-minibag.html?filter_set,Tippers
36,"Tarmac All-in Ballast, Large Bag",3.68,https://www.diy.com/departments/tarmac-all-in-ballast-large-bag/5030349012391_BQ.prd,BQ
36,Tarmac 20mm Ballast Large Bag - 22.5kg,4,https://www.homebase.co.uk/tarmac-20mm-ballast-large-bag-22.5kg/12839709.html,Homebase
36,Tarmac Ballast - Major Bag,3.75,https://www.wickes.co.uk/Tarmac-Ballast---Major-Bag/p/131880,Wickes
37,"Building sand, Bulk Bag, 16m²",70,https://www.diy.com/departments/building-sand-bulk-bag-16m-/35696_BQ.prd,BQ
37,Bradfords Yellow Building Sand Bulk Bag,64.8,https://www.bradfords.co.uk/building-sand-abb014,Bradfords
37,Soft Building Sand Bulk Bag,59.94,https://www.builderdepot.co.uk/soft-building-sand-bulk-bag,Builderdepot
37,Calverton Building Sand Yellow Bulk Bag,56.47,https://www.tippers.com/products/building-sand-yellow-bulk-bag.html?filter_set,Tippers
37,Travis Perkins Building Sand Bulk Bag,73.31,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-building-sand-bulk-bag/p/938155?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
38,Blooma Play sand 22.5kg,7.5,https://www.diy.com/departments/blooma-play-sand-22-5kg/5030349012162_BQ.prd,BQ
39,"Tarmac Kiln dried Paving sand, Large Bag",6.8,https://www.diy.com/departments/tarmac-kiln-dried-paving-sand-large-bag/535484_BQ.prd,BQ
39,Tarmac Trupak Kiln Dried Sand 25kg Bag,5.94,https://www.bradfords.co.uk/tarmac-trupak-kiln-dried-sand-25kg-kds020,Bradfords
39,Tarmac Kiln Dried Paving Sand - Large Bag,7,https://www.homebase.co.uk/tarmac-kiln-dried-paving-sand-large-bag/12804149.html,Homebase
39,Kiln Dried Sand Mini Bag,7.08,https://www.tippers.com/products/kiln-dried-sand-minibag.html?filter_set,Tippers
39,Kiln Dried Paving Sand 25kg,4.8,https://www.travisperkins.co.uk/bagged-aggregates/kiln-dried-paving-sand-25kg/p/518674?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
40,"Tarmac Grano dust, Bulk Bag",64,https://www.diy.com/departments/tarmac-grano-dust-bulk-bag/165422_BQ.prd,BQ
40,0/6mm Grano Grit to Dust - Single Trip Bulk Bag,64.8,https://www.bradfords.co.uk/abb004,Bradfords
41,"Sharp sand, Bulk Bag, 16m²",70,https://www.diy.com/departments/sharp-sand-bulk-bag-16m-/35691_BQ.prd,BQ
41,Bradfords Yellow Sharp Sand Bulk Bag,64.8,https://www.bradfords.co.uk/sharp-sand-grade-m-single-trip-bulk-bag-yellow,Bradfords
41,Fine Sharp Sand (Leighton Buzzard) Bulk Bag,65.94,https://www.builderdepot.co.uk/fine-sharp-sand-leighton-buzzard-bulk-bag,Builderdepot
41,Sharp Sand Bulk Bag,47.4,https://www.tippers.com/products/sharp-sand-bulk-bag.html?filter_set,Tippers
41,Travis Perkins Grit/Sharp Sand Bulk Bag,71.86,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-gritsharp-sand-bulk-bag/p/938208?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
42,"10mm Limestone Chippings, Bulk Bag",70,https://www.diy.com/departments/10mm-limestone-chippings-bulk-bag/35694_BQ.prd,BQ
42,10mm Gravel Bulk Bag,50.34,https://www.tippers.com/products/10mm-gravel-bulk-bag.html?filter_set,Tippers
43,"Tarmac 10mm Gravel, Large Bag",3.92,https://www.diy.com/departments/tarmac-10mm-gravel-large-bag/5030349012353_BQ.prd,BQ
43,Bradfords 10mm Gravel Prepacked Bag,4.07,https://www.bradfords.co.uk/10mm-gravel-apb038,Bradfords
43,10mm Gravel Mini Bag,3.64,https://www.tippers.com/products/10mm-gravel-minibag.html?filter_set,Tippers
43,Tarmac 10mm Gravel Pea Shingle - Major Bag,4,https://www.wickes.co.uk/Tarmac-10mm-Gravel-Pea-Shingle---Major-Bag/p/131882,Wickes
44,"Tarmac Weed Free Paving sand, Bag, 20kg",13.23,https://www.diy.com/departments/tarmac-weed-free-paving-sand-bag-20kg/1104456_BQ.prd,BQ
44,Tarmac Trupak Kiln Dried Sand 20kg Bag,5.94,https://www.bradfords.co.uk/tarmac-trupak-kiln-dried-sand-20kg-bag,Bradfords
44,Tarmac Kiln Dried Paving Sand - Large Bag,7,https://www.homebase.co.uk/tarmac-kiln-dried-paving-sand-large-bag/12804149.html,Homebase
44,Tarmac 20mm Derbyshire Grey Decorative Aggregate - Midi Bag,5,https://www.wickes.co.uk/Tarmac-20mm-Derbyshire-Grey-Decorative-Aggregate---Midi-Bag/p/207103,Wickes
45,"Tarmac Building sand, Large Bag",3.2,https://www.diy.com/departments/tarmac-building-sand-large-bag/5030349012407_BQ.prd,BQ
45,Building Sand 25kg,3,https://ehsmith.co.uk/product/building-sand-25kg/,Ehsmith
45,Tarmac Building Sand Large Bag - 22.5kg,3.5,https://www.homebase.co.uk/tarmac-building-sand-large-bag-22.5kg/12839708.html,Homebase
45,Red Building Sand Mini Bag,2.94,https://www.tippers.com/products/building-sand-red-minibag.html?filter_set,Tippers
46,"Tarmac Building sand, Large Bag",3.2,https://www.diy.com/departments/tarmac-building-sand-large-bag/5030349012407_BQ.prd,BQ
46,Plastering Sand 25kg,3,https://ehsmith.co.uk/product/plastering-sand-25kg/,Ehsmith
46,Plastering Sand Mini Bag,3.86,https://www.tippers.com/products/plastering-sand-minibag.html?filter_set,Tippers
47,"Tarmac 20mm Limestone Chippings, Large Bag",6.85,https://www.diy.com/departments/tarmac-20mm-limestone-chippings-large-bag/5030349012384_BQ.prd,BQ
47,Tarmac 20mm Limestone Chippings - Major Bag,7.8,https://www.wickes.co.uk/Tarmac-20mm-Limestone-Chippings---Major-Bag/p/131887,Wickes
48,"Tarmac 10mm Limestone Chippings, Large Bag",6.85,https://www.diy.com/departments/tarmac-10mm-limestone-chippings-large-bag/5030349012377_BQ.prd,BQ
49,"Tarmac Weed Free Paving sand, Bag, 20kg",13.23,https://www.diy.com/departments/tarmac-weed-free-paving-sand-bag-20kg/1104456_BQ.prd,BQ
50,"Plastering sand, Bulk Bag, 16m²",70,https://www.diy.com/departments/plastering-sand-bulk-bag-16m-/35697_BQ.prd,BQ
50,Bradfords Yellow Mixed Plastering Sand Bulk Bag,64.8,https://www.bradfords.co.uk/plastering-sand-50-50-mixed-single-trip-bulk-bag-yellow,Bradfords
50,Plastering Sand Bulk Bag,49.63,https://www.tippers.com/products/plastering-sand-bulk-bag.html?filter_set,Tippers
50,Travis Perkins Plastering Sand Bulk Bag,78.31,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-plastering-sand-bulk-bag/p/938196?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
51,"Tarmac Building sand, Large Bag",3.2,https://www.diy.com/departments/tarmac-building-sand-large-bag/5030349012407_BQ.prd,BQ
51,Building Sand 25kg,3,https://ehsmith.co.uk/product/building-sand-25kg/,Ehsmith
51,Tarmac Building Sand Large Bag - 22.5kg,3.5,https://www.homebase.co.uk/tarmac-building-sand-large-bag-22.5kg/12839708.html,Homebase
51,Red Building Sand Mini Bag,2.94,https://www.tippers.com/products/building-sand-red-minibag.html?filter_set,Tippers
52,Hyundai Silent 230V 24L Corded Compressor HY7524,150,https://www.diy.com/departments/hyundai-silent-230v-24l-corded-compressor-hy7524/5056275722722_BQ.prd,BQ
53,Hyundai Silent 230V 8L Corded Compressor HY5508,120,https://www.diy.com/departments/hyundai-silent-230v-8l-corded-compressor-hy5508/5056275722715_BQ.prd,BQ
54,Stanley DST 100/8/6/SI 6L Silent Air Compressor,159,https://www.diy.com/departments/stanley-dst-100-8-6-si-6l-silent-air-compressor/8016738772418_BQ.prd,BQ
67,Hyundai oil lubricating 230V 50L Corded Compressor HY3050V,300,https://www.diy.com/departments/hyundai-oil-lubricating-230v-50l-corded-compressor-hy3050v/5056275722739_BQ.prd,BQ
71,"Hyundai 100 Litre Air Compressor, 14CFM/116psi, Silenced, V Twin, Direct Drive 3hp HY30100V",429.99,https://www.diy.com/departments/hyundai-100-litre-air-compressor-14cfm-116psi-silenced-v-twin-direct-drive-3hp-hy30100v/5056275722746_BQ.prd,BQ
71,"Hyundai 100 Litre Air Compressor - 14CFM/116psi, 3hp - HY30100V",379.52,https://www.bradfords.co.uk/hyundai-100-litre-air-compressor-14cfm-116psi-3hp-hy30100v,Bradfords
72,Scheppach Air-Case 1100W 2 LTR Portable Air Compresso - Oil Free,169.99,https://www.diy.com/departments/scheppach-air-case-1100w-2-ltr-portable-air-compresso-oil-free/4046664040309_BQ.prd,BQ
73,Scheppach HC24V 1500W 24 LTR Air Compressor - Oil Free,169.99,https://www.diy.com/departments/scheppach-hc24v-1500w-24-ltr-air-compressor-oil-free/4046664040293_BQ.prd,BQ
74,5 PACK - 15mm x 3m Blue Rigid Nylon Pipe -Compressed Air Ring Main Straight Tube,99.99,https://www.diy.com/departments/5-pack-15mm-x-3m-blue-rigid-nylon-pipe-compressed-air-ring-main-straight-tube/5056524265642_BQ.prd,BQ
76,GoodHome Malay 12000BTU Local air conditioner,399,https://www.diy.com/departments/goodhome-malay-12000btu-local-air-conditioner/5063022060273_BQ.prd,BQ
76,Daewoo 12000 BTU Portable Air Conditioner,370,https://www.wickes.co.uk/Daewoo-12000-BTU-Portable-Air-Conditioner/p/249721,Wickes
77,HOMCOM Mobile Air Conditioner White W/ Remote Control Cooling Ventilating 765W,232.99,https://www.diy.com/departments/homcom-mobile-air-conditioner-white-w-remote-control-cooling-ventilating-765w/5056399100949_BQ.prd,BQ
78,HOMCOM 9000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office White,308.99,https://www.diy.com/departments/homcom-9000-btu-portable-air-conditioner-4-modes-led-display-timer-home-office-white/5056399125652_BQ.prd,BQ
79,HOMCOM 5000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,230.99,https://www.diy.com/departments/homcom-5000btu-portable-air-conditioner-4-modes-led-display-timer-home-office/5056399127922_BQ.prd,BQ
81,"HOMCOM 7000 BTU Air Conditioner Portable AC Unit with Remote, for Bedroom",266.99,https://www.diy.com/departments/homcom-7000-btu-air-conditioner-portable-ac-unit-with-remote-for-bedroom/5056534579050_BQ.prd,BQ
81,Daewoo 7000 BTU Portable Air Conditioner,260,https://www.wickes.co.uk/Daewoo-7000-BTU-Portable-Air-Conditioner/p/230080,Wickes
