product,price,category,link,image,description
Fillcrete Fillaboard Expansion Joint Strip 12mm x 150mm x 2440mm,£9.46,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-fillaboard-expansion-joint-strip-12mm-x-150mm-x-2440mm/p/781013,https://dam-assets.apps.travisperkins.group/70Zwv/GPID_1000025298_IMG_00.jpeg?width=300&height=300,"12mm 150 x 2440 Strips of Fillaboard Bitumen Impregnated fibreboard for all your requirements for concrete expansion and movement joints packed in 10 strips per pack.General purpose expansion joint filler meeting DOT and BAA specificationsManufactured from specially formulated impregnated fibreboard with a minimum 10% bitumen contentTypical applications would include: concrete paths, foundation slabs, roads and airport runwaysIt can also be used as a backfill protection board for below ground applicationsPacked in 10 strips per packView more"
Fillcrete Fillaboard Expansion Joint Sheet 12mm x 1220mm x 2440mm,£27.84,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-fillaboard-expansion-joint-sheet-12mm-x-1220mm-x-2440mm/p/781009,https://dam-assets.apps.travisperkins.group/MQRGR/GPID_1000025294_IMG_00.jpeg?width=300&height=300,"12mm 2440 x 1220 Sheet of Fillaboard Bitumen Impregnated fibreboard for all your requirements for concrete expansion and movement jointsGeneral purpose expansion joint filler meeting DOT and BAA specificationsManufactured from specially formulated impregnated fibreboard with a minimum 10% bitumen contentTypical applications would include: concrete paths, foundation slabs, roads and airport runwaysIt can also be used as a backfill protection board for below ground applicationsIndividual sheetsView more"
Fillcrete Expansion Joint Brickfill Roll 10mm x 150mm x 10m,£20.80,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-expansion-joint-brickfill-roll-10mm-x-150mm-x-10m/p/837981,https://dam-assets.apps.travisperkins.group/K6o3d/GPID_1000198649_IMG_00.jpeg?width=300&height=300,"10mm 150 x 10,000 rolls of Brickfill closed cell cross linked polyethylene foams for all your requirements for brick and blockwork expansion and movement joints packed in 10 rolls per merchant pack.Ideal low resistance expansion joint filler for brickwork and concrete blockworkBrickfill fully meets the British Standards for movement joints in brickworkAll pre-cut rolls have a scored tear off strip. Simply build in Brickfill flush with the surface of the brickwork and then pull off the “tear off” strip, leaving a correctly sized recess, to allow the installation of a suitable high performance silicon sealant, without the need for a bond breakerPacked in merchant packs of 10 rollsView more"
Fillcrete Brickfill Expansion Joint Roll 10mm x 100mm x 10m,£14.96,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-brickfill-expansion-joint-roll-10mm-x-100mm-x-10m/p/837980,https://dam-assets.apps.travisperkins.group/lx2ag/GPID_1000198648_IMG_00.jpeg?width=300&height=300,The expansion joint roll from Fillcrete Brickfill consists of cross linked polyethylene foams suitable for brick and blockwork expansion and movement joints. It is handy and lightweight. 10 rolls per pack.Complies with all British StandardsIdeal low resistance expansion joint fillerTear-off strip for easier applicationVery low water absorptionOil and ozone resistantConvenient to installView more
Fillcrete Expansion Joint Brickfill Roll 12mm x 150mm x 10m,£22.48,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-expansion-joint-brickfill-roll-12mm-x-150mm-x-10m/p/837983,https://dam-assets.apps.travisperkins.group/MgmQV/GPID_1000198651_IMG_00.jpeg?width=300&height=300,"12mm 150 x 10,000 rolls of Brickfill closed cell cross linked polyethylene foams for all your requirements for brick and blockwork expansion and movement joints packed in 10 rolls per merchant pack.Ideal low resistance expansion joint filler for brickwork and concrete blockworkBrickfill fully meets the British Standards for movement joints in brickworkAll pre-cut rolls have a scored tear off strip. Simply build in Brickfill flush with the surface of the brickwork and then pull off the “tear off” strip, leaving a correctly sized recess, to allow the installation of a suitable high performance silicon sealant, without the need for a bond breakerPacked in merchant packs of 10 rollsView more"
Fillcrete Brickfill Expansion Joint Roll 12mm x 100mm x 10m,£16.66,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-brickfill-expansion-joint-roll-12mm-x-100mm-x-10m/p/837982,https://dam-assets.apps.travisperkins.group/MgmDD/GPID_1000198650_IMG_00.jpeg?width=300&height=300,"12mm 100 x 10,000 rolls of Brickfill closed cell cross linked polyethylene foams for all your requirements for brick and blockwork expansion and movement joints packed in 10 rolls per merchant pack.Ideal low resistance expansion joint filler for brickwork and concrete blockworkBrickfill fully meets the British Standards for movement joints in brickworkAll pre-cut rolls have a scored tear off strip. Simply build in Brickfill flush with the surface of the brickwork and then pull off the “tear off” strip, leaving a correctly sized recess, to allow the installation of a suitable high performance silicon sealant, without the need for a bond breakerPacked in merchant packs of 10 rollsView more"
15mm x 457mm x 2440mm White Melamine Shelving,£23.15,Melamine Shelving,https://www.travisperkins.co.uk/melamine-shelving/15mm-x-457mm-x-2440mm-white-melamine-shelving/p/622688,https://dam-assets.apps.travisperkins.group/7nvNQ/GPID_1000323667_IMG_00.jpeg?width=300&height=300,"A white Melamine faced chipboard, suitable for shelving and other internal applications.Suitable for shelvingSuitable various types of furniture including kitchen carcassesLipped on 2 long edgesChipboard substrate"
15mm x 305mm x 2440mm White Melamine Shelving,£16.15,Melamine Shelving,https://www.travisperkins.co.uk/melamine-shelving/15mm-x-305mm-x-2440mm-white-melamine-shelving/p/622686,https://dam-assets.apps.travisperkins.group/Md0pL/GPID_1000323665_IMG_00.jpeg?width=300&height=300,"A white Melamine faced chipboard, suitable for shelving and other internal applications.Suitable for shelvingSuitable various types of furniture including kitchen carcassesLipped on 2 long edgesChipboard substrate"
15mm x 228mm x 2440mm White Melamine Shelving,£8.26,Melamine Shelving,https://www.travisperkins.co.uk/melamine-shelving/15mm-x-228mm-x-2440mm-white-melamine-shelving/p/622685,https://dam-assets.apps.travisperkins.group/o8rrgl3/GPID_1000323664_IMG_00.jpeg?width=300&height=300,"A white Melamine faced chipboard, suitable for shelving and other internal applications.Suitable for shelvingSuitable various types of furniture including kitchen carcassesLipped on 2 long edgesChipboard substrate"
15mm x 152mm x 2440mm White Melamine Shelving,£7.73,Melamine Shelving,https://www.travisperkins.co.uk/melamine-shelving/15mm-x-152mm-x-2440mm-white-melamine-shelving/p/622684,https://dam-assets.apps.travisperkins.group/MQzdR/GPID_1000323663_IMG_00.jpeg?width=300&height=300,"A white Melamine faced chipboard, suitable for shelving and other internal applications.Suitable for shelvingSuitable various types of furniture including kitchen carcassesLipped on 2 long edgesChipboard substrate"
