id,name,image,description,category,sub_category,main_category,top_seller,price
37,"Building sand, Bulk Bag",/images/products/building-sand-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc. Suitable for laying slab and block paving.",Aggregates & sand,building_supplies,building_hardware,0,70.00
38,Blooma Play sand 22.5kg,/images/products/blooma-play-sand-22-5kg.png,Keep your children busy for hours and enjoying the outdoors with this bag of play-sand. Suitable for use in children's sand pits. Bring the beach to your outdoor space and create fun all Summer long. Non-toxic.,Aggregates & sand,building_supplies,building_hardware,0,7.50
39,"Tarmac Kiln dried Paving sand, Large Bag",/images/products/tarmac-kiln-dried-paving-sand-large-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Shower resistant packaging, suitable for outdoor storage. Ready to use straight from the bag. Fine grade.",Aggregates & sand,building_supplies,building_hardware,0,6.80
40,"Tarmac Grano dust, Bulk Bag",/images/products/tarmac-grano-dust-bulk-bag.png,"Mix this bag of grano dust with cement to make a fine concrete, ideal for outdoor building and construction applicationsCE marked.",Aggregates & sand,building_supplies,building_hardware,0,64.00
41,"Sharp sand, Bulk Bag",/images/products/sharp-sand-bulk-bag.png,"Coverage will be dependent on depth laid, ground conditions etcA coarse sand used in screeding, block and slab laying applications and also for concrete mixing. Please note that product supplied comes from a natural source and may vary in colour, size and texture. Mix with cement and water to make bricklaying mortar. Manufactured to BS EN 12620.",Aggregates & sand,building_supplies,building_hardware,0,70.00
42,"10mm Limestone Chippings, Bulk Bag",/images/products/10mm-limestone-chippings-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc. Use to create finer concrete mixes. Excellent drainage properties.",Aggregates & sand,building_supplies,building_hardware,0,70.00
43,"Tarmac 10mm Gravel, Large Bag",/images/products/tarmac-10mm-gravel-large-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Use to create finer concrete mixes and bed pipes. Coverage will be dependent on depth laid, ground conditions etc. Not for decorative use.",Aggregates & sand,building_supplies,building_hardware,0,3.92
44,Tarmac Sand 20kg Bag,/images/products/tarmac-sand-20kg-bag.png,Helps water drain from growing media. Waterproof packaging can be stored outside. Features and benefitsPH balanced.,Aggregates & sand,building_supplies,building_hardware,0,5.50
45,"Tarmac Building sand, Large Bag",/images/products/tarmac-building-sand-large-bag.png,For use in bricklaying and internal rendering. Mix with cement and water to make bricklaying mortar. Consistent colour and quality.,Aggregates & sand,building_supplies,building_hardware,0,2.98
46,"Tarmac Plastering sand, Large Bag",/images/products/tarmac-plastering-sand-large-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,4.75
47,"Tarmac 20mm Limestone Chippings, Large Bag",/images/products/tarmac-20mm-limestone-chippings-large-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Use to create high strength concrete mixes. For use in concreting applications. Excellent drainage properties.",Aggregates & sand,building_supplies,building_hardware,0,6.85
48,"Tarmac 10mm Limestone Chippings, Large Bag",/images/products/tarmac-10mm-limestone-chippings-large-bag.png,"Coverage will be dependent on depth laid, ground conditions etc. ideal for pathways & drives..Not for decorative use. Please note that product supplied comes from a natural source and may vary in colour, size and texture. This limestone is suitable for concreting applications to give finer concrete mixes.",Aggregates & sand,building_supplies,building_hardware,0,6.85
49,Tarmac Weed Free Paving sand 20kg Bag,/images/products/tarmac-10mm-limestone-chippings-large-bag.png,"It is suitable for use with any paving project and is an organic method of inhibiting unwanted weed growth. This paving sand from Tarmac is specially formulated to prevent weed growth in the joints between paving slabs & blocks. Best applied during dry, sunny conditions. Inhibits growth of weeds, algae & lichens.",Aggregates & sand,building_supplies,building_hardware,0,13.23
50,"Plastering sand, Bulk Bag",/images/products/plastering-sand-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,70.00
51,"Tarmac Red Building sand, Large Bag",/images/products/tarmac-red-building-sand-large-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture.",Aggregates & sand,building_supplies,building_hardware,0,2.87
