main_name,category,bq_name,tp_name,bradfords_name,builderdepot_name,homebase_name,jewson_name,screwfix_name,toolstation_name,wickes_name
Makita 720W 240V 115mm Corded Angle grinder GA4530R,Angle grinders,Makita 720W 240V 115mm Corded Angle grinder GA4530R,,,,,,,,
Einhell 18V Power X-Change 115mm Cordless Angle grinder TC-AG 18/155 Li-Solo (4431132) - Bare unit,Angle grinders,Einhell 18V Power X-Change 115mm Cordless Angle grinder TC-AG 18/155 Li-Solo (4431132) - Bare unit,,,,,,,,
Makita LXT 18V LXT 115mm Cordless Angle grinder DGA452Z - Bare unit,Angle grinders,Makita LXT 18V LXT 115mm Cordless Angle grinder DGA452Z - Bare unit,,,,,,,,
Ryobi 600W 240V 115mm Corded Angle grinder RAG600-115GA5,Angle grinders,Ryobi 600W 240V 115mm Corded Angle grinder RAG600-115GA5,,,,,,,,
Erbauer EXT 18V 115mm Cordless Angle grinder EAG18-Li - Bare,Angle grinders,Erbauer EXT 18V 4Ah Li-ion 115mm Cordless Angle grinder 1 battery EAG18-Li,,,,,,,,
Mac Allister 2000W 240V 230mm Corded Angle grinder MSAG2000,Angle grinders,Mac Allister 2000W 240V 230mm Corded Angle grinder MSAG2000,,,,,,,,
Lumberjack 115mm Angle Grinder 820W Includes Grinding Disc and Side Handle,Angle grinders,Lumberjack 115mm Angle Grinder 820W Includes Grinding Disc and Side Handle,,,,,,,,
Erbauer 900W 240V 115mm Corded Angle grinder EAG900-115,Angle grinders,Erbauer 900W 240V 115mm Corded Angle grinder EAG900-115,,,,,,,,
Mac Allister Solo 18V 115mm Cordless Angle grinder MAG18-Li - Bare unit,Angle grinders,Erbauer EXT 18V 115mm Cordless Angle grinder EAG18-Li - Bare,,,,,,,,
Erbauer 2200W 240V 230mm Corded Angle grinder EAG2200,Angle grinders,Erbauer 2200W 240V 230mm Corded Angle grinder EAG2200,,,,,,,,
DeWalt 2000W 240V 230mm Corded Angle grinder DWE490-GB,Angle grinders,DeWalt 2000W 240V 230mm Corded Angle grinder DWE490-GB,,,,,,,,
JCB 18V Angle Grinder with 2 x 2.0Ah Lithium-ion Batteries and 2.4A Charger - JCB-18AG-2-V2,Angle grinders,JCB 18V Angle Grinder with 2 x 2.0Ah Lithium-ion Batteries and 2.4A Charger - JCB-18AG-2-V2,,,,,,,,
Lumberjack Cordless 20V Angle Grinder 115mm M14 Thread Overload Protection Red (BARE UNIT),Angle grinders,Lumberjack Cordless 20V Angle Grinder 115mm M14 Thread Overload Protection Red (BARE UNIT),,,,,,,,
Lumberjack 20V 115mm Angle Grinder Kit 1x 4Ah Battery and Fast Charger,Angle grinders,Lumberjack 20V 115mm Angle Grinder Kit 1x 4Ah Battery and Fast Charger,,,,,,,,
