product,price,category,link,image,description
22mm x 600mm x 2400mm Egger Peelclean XTRA Tongue and Grooved Chipboard Floor...,£26.65,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-egger-peelclean-xtra-tongue-and-grooved-chipboard-flooring/p/165363,https://dam-assets.apps.travisperkins.group/pzoBQ/GPID_1000050909_IMG_00.jpeg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooringA high density durable panel offering a precision tongued and grooved profile, a floor panel that can be laid quickly and easilyOnce correctly laid, the panels can be left exposed to the elements for up to 42 days during the build processThe clean finished face provides an excellent surface for subsequent floor laying operationsComplies with EN13986 governing the use in construction, specifically standard EN 312View more"
22mm x 600mm x 2400mm Caberfloor P5 Tongue And Grooved Moisture Resistant Chi...,£30.80,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-caberfloor-p5-tongue-and-grooved-moisture-resistant-chipboard-flooring/p/611017,https://dam-assets.apps.travisperkins.group/R0v1b/GPID_1000262508_IMG_00.jpeg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooringResistant to moisture and soundThe panel must be conditioned as per the manufacturer's instructions prior to installationConforms to EN 312 and EN 13986DurableEasy to installConforms to the latest European low emission standards E1View more"
Egger D4 Chipboard Flooring Adhesive 1kg,£22.01,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/egger-d4-chipboard-flooring-adhesive-1kg/p/165371,https://dam-assets.apps.travisperkins.group/erqZV/GPID_1000050910_IMG_00.jpeg?width=300&height=300,N/A
18mm x 600mm x 2400mm Caberfloor P5 Tongue And Grooved Moisture Resistant Chi...,£24.62,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/18mm-x-600mm-x-2400mm-caberfloor-p5-tongue-and-grooved-moisture-resistant-chipboard-flooring/p/611016,https://dam-assets.apps.travisperkins.group/XDYdD/GPID_1000262507_IMG_00.jpg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooringResistant to moisture and soundThe panel must be conditioned as per the manufacturer's instructions prior to installationConforms to EN 312 and EN 13986DurableEasy to installConforms to the latest European low emission standards E1View more"
22mm x 600mm x 2400mm Egger Protect Grey Tongue and Grooved Chipboard Floorin...,£30.74,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-egger-protect-grey-tongue-and-grooved-chipboard-flooring/p/165344,https://dam-assets.apps.travisperkins.group/mP6B1/GPID_1000050908_IMG_00.jpeg?width=300&height=300,"EGGER Protect is manufactured from an EGGER P5 flooring grade particleboard with a unique, weather resistant surface layer applied to both the top and underside of the board.Laminated surface on both sides for added protectionFor structural use in accordance with EN 13986Manufactured to EN 312Tongued and grooved on 4 sides"
Caber D4 T&G Adhesive 1kg,£19.81,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/caber-d4-t-and-g-adhesive-1kg/p/346264,https://dam-assets.apps.travisperkins.group/Er6rn/GPID_1000427369_IMG_00.jpeg?width=300&height=300,"Multi-purpose flooring adhesiveSolvent free, one-component polyurethane adhesiveIdeal for use with Norbord's Caberdek, Caberfloor and Cabershield boardsIdeal for bonding flooring boards to both joists and tongue and groove jointsEfficient, economic foaming adhesive in an easy to hold 1kg bottle"
22mm x 600mm x 2400mm Caberdek P5 Tongue and Grooved Moisture Resistant Chipb...,£36.98,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-caberdek-p5-tongue-and-grooved-moisture-resistant-chipboard-flooring/p/931275,https://dam-assets.apps.travisperkins.group/vnemkl8/GPID_1000071586_IMG_00.jpeg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooring. Has a protective peel off film to prevent stains to the floor when used as a deck during constructionA high density durable panel offering a precision tongued and grooved profile, a floor panel that can be laid quickly and easilyThe finished face provides an excellent surface for subsequent floor laying operationsMoisture resistant P5 grade flooringThe panel conforms to the latest European low emission standards 'E1'Complies with EN13986 governing the use in construction, specifically standard EN 312The panel must be conditioned as per the manufacturers instructions prior to installationBBA ApprovedView more"
22mm x 600mm x 2400mm Egger Peelclean XTRA Tongue and Grooved Chipboard Floor...,£26.65,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-egger-peelclean-xtra-tongue-and-grooved-chipboard-flooring/p/165363,https://dam-assets.apps.travisperkins.group/pzoBQ/GPID_1000050909_IMG_00.jpeg?width=300&height=300,N/A
Egger D4 Chipboard Flooring Adhesive 1kg,£22.01,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/egger-d4-chipboard-flooring-adhesive-1kg/p/165371,https://dam-assets.apps.travisperkins.group/erqZV/GPID_1000050910_IMG_00.jpeg?width=300&height=300,Used for bonding the panels to the joist and within the tongue and groove jointD4 adhesive is used for bonding the panels to the joist and within the tongue and groove joint as well as for sealing nail heads and adjacent areasD4 adhesive has optimum viscosity for speed of delivery and minimum wasteIt is packed in a handy 1kg squeezy bottle for ease of use onsite
Pointed Timber Peg Sawn and Treated 47mm x 50mm x 600mm,£3.83,Site Pegs,https://www.travisperkins.co.uk/site-pegs/pointed-timber-peg-sawn-and-treated-47mm-x-50mm-x-600mm/p/104015,https://dam-assets.apps.travisperkins.group/dXpOL/GPID_1000260877_IMG_00.jpeg?width=300&height=300,N/A
