ï»¿id,name,price,category,link,image,description,source,sub_category
4938,Shurtape Multi-Surface Masking FrogTape 41.1m x 36mm,8.65,Tapes,https://www.jewson.co.uk/p/shurtape-multi-surface-masking-frogtape-41-1m-x-36mm-TSH31351,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/62124","Shurtape Multi-Surface Masking FrogTape, is designed for use on cured painted walls, wooden trim, glass and metal. This tape is a super-absorbent polymer which reacts with emulsion paint and immediately gels to form a micro-barrier seal. The product measures 41.10m x 36mm (L x W) and made with paintblock technology. The tape is to be removed instantly after painting for best results and is ideally used for creating stripes and paint effects.Features & benefitsPerfect for multi-surfaces which prevents the paint bleedWeatherproofConsumes less time spent on touch-ups and gives very sharp paint lines",Jewson,decorating_supplies
4939,Frogtape Green Masking Tape (L)41.1m (W)48mm,7.78,Tapes,https://www.diy.com/departments/frogtape-green-masking-tape-l-41-1m-w-48mm/1165839_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-yellow-masking-tape-l-41-1m-w-36mm~0075353313497_01bq?wid=284&hei=284,"Perfect for your next painting project, FrogTape® Multi-Surface Painting Tape provides crisp, clean lines.Guarantee - 1 yearEasy tearFeatures and benefitsIt is treated with exclusive PaintBlock® Technology which prevents the paint from bleeding and produces a crisp, professional paint line.Unique PaintBlock® Technology that prevents paint bleed, leaving clean linesFor use with emulsion paintWith convenient protective canisterFor use on cured painted walls, wood trim, glass & metal",BQ,decorating_supplies
4940,ScotchBlue Blue Masking Tape (L)41m (W)24mm,4.86,Tapes,https://www.diy.com/departments/scotchblue-blue-masking-tape-l-41m-w-24mm/4054596515109_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-green-masking-tape-l-41-1m-w-48mm~0075353313237_01bq?wid=284&hei=284,"Easy tearFeatures and benefitsA universal multi-purpose tape designed for masking a wide range of surfaces. It's UV and water resistant, and adheres consistently to most surfaces without bleeding, ensuring clean lines. It offers residue-free removal up to 14 days after application.Multi-purpose – can be used on most surfacesSuitable for use both indoors and outdoorsMedium adhesionEasy to tear by handRemoves cleanly for up to 14 days",BQ,decorating_supplies
4941,Diall Beige Masking Tape (L)50m (W)24mm,3.10,Tapes,https://www.diy.com/departments/diall-beige-masking-tape-l-50m-w-24mm/1718563_BQ.prd,https://media.diy.com/is/image/Kingfisher/scotchblue-blue-masking-tape-l-41m-w-24mm~4054596515109_01c?wid=284&hei=284,"Easy tearApply on clean surfaces and curved linesFeatures and benefitsHand tear ableFor use on glass, trim, fully cured wood, plasterboard & walls",BQ,decorating_supplies
4941,No Nonsense Masking Tape 50m x 24mm,2.49,Tapes,https://www.screwfix.com/p/no-nonsense-masking-tape-50m-x-24mm/520kh,https://media.screwfix.com/is/image/ae235/520KH_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"General purpose, easy-tear masking tape for a range of DIY applications. Good adhesion on all surfaces and compatible with most common paints. Easy to remove, with no adhesive residue.For Indoor UseMoisture-ResistantSaturated Paper BackingSynthetic Rubber Adhesive",Screwfix,decorating_supplies
4942,Diall Fibreglass White Joining Tape (L)90m (W)50mm,6.07,Tapes,https://www.diy.com/departments/diall-fibreglass-white-joining-tape-l-90m-w-50mm/1876144_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-beige-masking-tape-l-50m-w-24mm~3663602932505_01bq?wid=284&hei=284,Suitable for: JointingFeatures and benefitsStrong mesh tape that helps reinforce plaster coating and protects it from cracking.The tape is perfectly designed to be used between plasterboards on a flat surface,BQ,decorating_supplies
4942,Diall  Fibreglass Mesh Tape White 90m x 50mm,4.49,Tapes,https://www.screwfix.com/p/diall-fibreglass-mesh-tape-white-90m-x-50mm/626cf,https://media.screwfix.com/is/image/ae235/626CF_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Strong fibreglass mesh tape that helps reinforce plaster coating and protects it from cracking. Designed to be used for plasterboard internal corners.90m x 50mmCorrosion-ResistantOdourless & Solvented,Screwfix,decorating_supplies
4943,Frogtape Orange Masking Tape (L)41.1m (W)24mm,5.54,Tapes,https://www.diy.com/departments/frogtape-orange-masking-tape-l-41-1m-w-24mm/909838_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-fibreglass-white-joining-tape-l-90m-w-50mm~3663602887164_01bq?wid=284&hei=284,"Guarantee - 1 yearEasy tearApply on clean and dry surfaces. It can be applied up to 21 days before you paint (7 days in direct sunlight). For best results remove FrogTape® immediately after paintingFeatures and benefitsTreated with PaintBlock® Technology to give a high performance every time - Keeps Paint Out. Keeps Lines Sharp™For use with water based gloss & satin paintsComes with convenient protective canisterSuitable for untreated, painted or varnished wood or wood derivativesRecommended for wood",BQ,decorating_supplies
4944,Frogtape Yellow Masking Tape (L)41.1m (W)24mm,5.54,Tapes,https://www.diy.com/departments/frogtape-yellow-masking-tape-l-41-1m-w-24mm/152707_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-orange-masking-tape-l-41-1m-w-24mm~0075353313428_01bq?wid=284&hei=284,"Perfect for your next painting project, FrogTape® Multi-Surface Painting Tape provides crisp, clean lines.Guarantee - 1 yearEasy tearApply on clean and dry delicate surfaces. It can be applied up to 21 days before you paint (7 days in direct sunlight). For best results remove FrogTape® immediately after paintingFeatures and benefitsIt is treated with exclusive PaintBlock® Technology which prevents the paint from bleeding and produces a crisp, professional paint line. Designed to work on delicate surfaces such as fresh paint, wallpaper and decorative projects, perfect for when you need a lower adhesion level to help prevent surface damage.Treated with PaintBlock® Technology to give a high performance every time - Keeps Paint Out. Keeps Lines Sharp™Reacts with emulsion paint and instantly gels to form a micro-barrier that seals the edges of the tapeWill remove cleanly from most surfaces for up to 60 days, for best results remove immediately after paintingWith convenient protective canisterCutting width (mm) - 190 mm18 V / 2.5 Ah Lithium-ion",BQ,decorating_supplies
4945,Diall White Double-sided Tape (L)25m (W)50mm,7.38,Tapes,https://www.diy.com/departments/diall-white-double-sided-tape-l-25m-w-50mm/1638445_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-yellow-masking-tape-l-41-1m-w-24mm~0075353313480_01bq?wid=284&hei=284,"Guarantee - 1 yearNot easy tearKeep the surface clean, dry and free from dust and greaseSuitable for CarpetsFeatures and benefitsIdeal for smooth, flat surfaces",BQ,decorating_supplies
