id,name,price,category,link,image,description,source,sub_category
3954,Chrome effect Shower head holder,3.99,Riser rails & head holders,https://www.diy.com/departments/chrome-effect-shower-head-holder/1618906_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-teesta-straight-shower-riser-rail~3663602301189_01c?wid=284&hei=284,"This universal shower head holder from has a chrome effect finish, and is ideal for changing the appearance of your bathroom or shower enclosure. It comes with fixings supplied, for easy and quick installation.Guarantee - 2 yearsOnly fixings includedInstructions for care: Clean with warm soapy water. Dry with a soft cloth. Do not use scourers, abrasive or chemical cleaners",BQ,showering
3954,Aqualona Replacement Shower Head Holder - Chrome,6,Riser rails & head holders,https://www.homebase.co.uk/aqualona-replacement-shower-head-holder-chrome/12881232.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12881232-1854843649114616.jpg,"This stylish replacement shower head holder is not only quick to fit for the majority of riser rails, but is perfect for holding all shower heads. Secure shower head holder Adjusts to fit most shower riser rails Holder fits rails with a diameter between 24.5-25mm",Homebase,showering
3955,Cooke & Lewis Mukda Single-spray pattern Chrome effect Shower head,20,Riser rails & head holders,https://www.diy.com/departments/cooke-lewis-mukda-single-spray-pattern-chrome-effect-shower-head/1618592_BQ.prd,https://media.diy.com/is/image/Kingfisher/chrome-effect-shower-head-holder~3663602950288_01c_bq?wid=284&hei=284,"This chrome effect shower head from Cooke & Lewis has a 1 shower spray pattern.Guarantee - 5 yearsInstructions for care: Keep the shower head in a pristine condition, simply wipe clean with a damp cloth after use. Do not use abrasive or acidic detergents for cleaningCompatible with Works with any shower systemFeatures and benefitsEasy to clean : Rubber tips that allow you to easily get rid of hard water deposits and enjoy a perfect pattern every time",BQ,showering
3955,Single Function Shower Head Chrome 54620,23.14,Riser rails & head holders,https://www.bradfords.co.uk/single-function-shower-head-arl240,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/9/3/93418427b230718abe61b1fbf8fd4831.jpg,"The shower head is manufactured from high quality materials and features soft round edges to give your room a relaxing feel. The shower head is easy to install, clean and is manufactured for long lasting ability. Features & Benefits:   Coated in a luxury chrome finish.  Features rub clean nozzles to avoid limescale build up.  Compatible with gravity, power, combi & electric showers.  Single function.",Bradfords,showering
3955,Triton Lara 3 Spray Pattern Shower Head - Chrome,22,Riser rails & head holders,https://www.homebase.co.uk/triton-lara-3-spray-pattern-shower-head-chrome/13882036.html,https://static.thcdn.com/images/xsmall/original//productimg/original/13882036-6504971872019567.jpg,The Lara three spray pattern shower head is a great value for money chrome shower head suitable for all showers. The elegant and simple design makes it a beautiful replacement for your current shower head. Suitable for all showers Three spray patterns Rub clean nozzle is easy to clean and maintain Critical to shower performance - tested and optimised for safe performance with Triton showers,Homebase,showering
3956,Chrome effect Shower head holder,2.99,Riser rails & head holders,https://www.diy.com/departments/chrome-effect-shower-head-holder/1618607_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-mukda-single-spray-pattern-chrome-effect-shower-head~3663602949978_01bq?wid=284&hei=284,"This shower head holder from has a chrome effect finish, and is ideal for changing the appearance of your bathroom or shower enclosure. It comes with fixings supplied, for easy and quick installation.Guarantee - 2 yearsComes with 1x 2 positions shower holderInstructions for care: Clean with warm soapy water. Dry with a soft cloth. Do not use scourers, abrasive or chemical cleaners",BQ,showering
3956,Aqualona Replacement Shower Head Holder - Chrome,6,Riser rails & head holders,https://www.homebase.co.uk/aqualona-replacement-shower-head-holder-chrome/12881232.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12881232-1854843649114616.jpg,"This stylish replacement shower head holder is not only quick to fit for the majority of riser rails, but is perfect for holding all shower heads. Secure shower head holder Adjusts to fit most shower riser rails Holder fits rails with a diameter between 24.5-25mm",Homebase,showering
3957,Chrome Shower Head Holder - Wall Mounting Vacuum Suction Cup Bathroom Bracket,8.95,Riser rails & head holders,https://www.diy.com/departments/chrome-shower-head-holder-wall-mounting-vacuum-suction-cup-bathroom-bracket/5053335767372_BQ.prd,https://media.diy.com/is/image/Kingfisher/chrome-effect-shower-head-holder~3663602950240_01c_bq?wid=284&hei=284,"SnapBracket allows you to fix your hand shower anywhere on the cubicle wall or bathtub for the most comfortable bathing position. Using a powerful vacuum lock it needs no drilling or complicated installation. Suitable for any hand shower, simply mount it onto any smooth surface, ceramic, porcelain, brass, marble and unlock to reposition.Guarantee - 3 monthsFeatures and benefitsSuitable for any hand showerSmart Chrome finish",BQ,showering
3957,Swing Bracket - Chrome,7,Riser rails & head holders,https://www.homebase.co.uk/swing-bracket-chrome/12820758.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12820758-1474831915990932.jpg,"Part of a comprehensive range of Decorative Shelving to suit your home or office. Our Decorative brackets have been a staple in our Bracket Range for years due their timeless design and simple function. Simply affix our bracket to your wall and to your shelf of choice. Ideal for use with with our other shelving products Easy to install Suitable for all wall types Smart, stylish and practical",Homebase,showering
3958,Showerdrape  Shower Wall Bracket Adjustable,7,Riser rails & head holders,https://www.diy.com/departments/showerdrape-shower-wall-bracket-adjustable/5023653027571_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/chrome-shower-head-holder-wall-mounting-vacuum-suction-cup-bathroom-bracket~5053335767372_01c_MP?wid=284&hei=284,Features and benefitsUsed within any Bathroom to provide a fixed point to hold a handset.  The tilting function allows you to choose the desired angle.  Suitable for most handsets with electric and mixer showers.Material:  ABSFinish:  Chrome-platedSize: 6cm (h) x 4cm (w) x 7cm (d),BQ,showering
3959,GoodHome Cavally Shower head holder,5,Riser rails & head holders,https://www.diy.com/departments/goodhome-cavally-shower-head-holder/3663602301080_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/showerdrape-shower-wall-bracket-adjustable~5023653027571_01c_MP?wid=284&hei=284,"Guarantee - 5 yearsComes with 1x shower holder, 1x fixing kit and 1x instructions manualFeatures and benefitsThis holder makes it simple to mount your shower head on the wall and complements the rest of the cavally rangeKeeps your bath or shower neat and unobstructedSleek modern silver design",BQ,showering
3960,Fast Fit Wall Hung Brackets for Bar Valve - Pair,15,Riser rails & head holders,https://www.diy.com/departments/fast-fit-wall-hung-brackets-for-bar-valve-pair/5056211845249_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-cavally-shower-head-holder~3663602301080_01c?wid=284&hei=284,"An essential piece to your shower's plumbing, the wall hung fixings are manufactured from high quality brass.Guarantee - 5 yearsFeatures and benefitsSupplied in pairs, the wall fixings are in a timeless design, that will complement both modern and traditional bathroom designs.Wall hung fixingsShower accessoryRound designManufactured from brass",BQ,showering
3961,Flexible Bathroom Suction Holder for Shower Head or Hairdryer - H29cm,11.95,Riser rails & head holders,https://www.diy.com/departments/flexible-bathroom-suction-holder-for-shower-head-or-hairdryer-h29cm/5053335767655_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/fast-fit-wall-hung-brackets-for-bar-valve-pair~5056211845249_01c_MP?wid=284&hei=284,"This ingenious suction holder sticks onto any non porous smooth surface such as glass or tiles so you can create a custom holder for all sort of useful things. For example, to reposition the bathroom shower head to a more accessible position or to make a convenient cradle for your hairdryer or hot tongs in the bedroom.Guarantee - 3 monthsFeatures and benefitsMakes an instant holder for shower head, hairdryer etcThe flexible arms bend to hold any suitable itemHolder grips smooth walls like glue - without drillingStrong lever-action suction supports loads of up to 45lbs29cm high",BQ,showering
